Crop,Season,State,Year,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,Kharif,Bihar,2010,2502396,6654033.12,895.72,174.7,0.567,2.6591
Maize,Rabi,Assam,2011,319870,1132432.71,805.35,105.63,0.4405,3.5403
Rice,Kharif,Himachal Pradesh,2000,1823925,4150807.83,1494.47,166.53,7.763,2.2758
Maize,Rabi,Jharkhand,2016,282950,811513.0,673.07,170.99,5.746,2.868
Wheat,Rabi,Jammu and Kashmir,1998,1154773,4522164.21,474.33,104.35,2.2159,3.9161
Maize,Rabi,Jammu and Kashmir,2007,764143,2519349.2,626.26,170.25,5.8259,3.297
Rice,Kharif,Odisha,2004,2303932,4956250.86,1354.75,157.43,7.9992,2.1512
Maize,Rabi,Telangana,2006,728255,3366356.44,492.63,118.87,1.2157,4.6225
Maize,Rabi,Madhya Pradesh,1998,519013,1862818.91,484.43,175.69,4.5949,3.5892
Maize,Kharif,Rajasthan,2004,79461,333606.97,822.63,177.55,6.9134,4.1984
Maize,Rabi,Uttarakhand,1997,380190,931644.23,568.06,97.45,1.0784,2.4505
Rice,Kharif,Uttarakhand,1998,2613868,6311043.12,1479.79,88.74,3.6083,2.4144
Maize,Rabi,Maharashtra,2007,447904,1389205.87,1046.64,127.5,0.5668,3.1016
Wheat,Rabi,Jammu and Kashmir,2000,1081726,4319508.08,415.78,118.0,3.1351,3.9932
Maize,Rabi,Chhattisgarh,2020,470888,1692501.1,586.85,123.3,5.2788,3.5943
Maize,Rabi,Uttarakhand,1998,198319,550198.89,1172.4,97.77,6.0874,2.7743
Maize,Kharif,Chhattisgarh,1997,58266,174944.99,473.84,116.59,2.2261,3.0025
Rice,Kharif,Haryana,2020,332407,1689399.21,1508.37,129.33,6.2566,5.0823
Rice,Kharif,Telangana,2008,2637402,7812511.16,1467.8,103.32,1.8602,2.9622
Maize,Rabi,Chhattisgarh,2005,478209,1398583.11,458.97,163.03,2.3464,2.9246
Maize,Rabi,Assam,2002,697267,2101977.11,735.39,154.27,6.2328,3.0146
Wheat,Rabi,Uttarakhand,2007,237646,1596213.47,626.64,226.65,2.1922,6.7168
Maize,Rabi,Assam,1997,281807,875612.72,804.33,97.62,6.3938,3.1071
Maize,Kharif,Gujarat,1997,690743,2028877.01,823.15,143.46,4.0604,2.9372
Maize,Kharif,Gujarat,2002,238507,643929.46,1067.86,153.18,6.858,2.6998
Maize,Rabi,Himachal Pradesh,2012,716451,3389500.69,652.55,128.33,6.7087,4.731
Rice,Kharif,Madhya Pradesh,2015,1358651,4463222.85,1349.64,180.93,2.1941,3.285
Wheat,Rabi,Jammu and Kashmir,2016,1116280,5518325.9,506.79,165.37,1.2404,4.9435
Maize,Kharif,West Bengal,2002,690436,2027436.45,687.64,95.99,4.8074,2.9365
Maize,Rabi,Himachal Pradesh,2000,564951,2192645.38,591.33,176.22,5.5768,3.8811
